joint_entropy_,total_corr_,est_total_corr_lower,est_total_corr_upper
1.43894,149.17829,138.8886,148.42932
1.44781,149.82899,139.46532,156.17091
1.45645,150.20138,139.65328,151.96582
1.46526,150.78619,140.39426,146.71042
1.47418,151.49988,141.20627,146.74916
1.48283,151.87226,141.35054,153.98056
1.49163,152.43761,142.05855,145.82529
1.50056,153.17286,142.92059,147.54925
1.50969,154.14732,144.07012,155.45293
1.51886,155.16571,145.12816,162.01781
1.52782,155.92698,145.72002,164.29512
1.53646,156.29936,145.83128,159.12557
1.54567,157.36141,147.38095,161.81755
1.55453,158.00114,147.73658,167.25487
1.56336,158.60323,148.32139,158.04194
1.57172,158.63538,147.96654,148.71814
1.58079,159.53344,149.47434,171.43164
1.5897,160.23351,150.04598,169.50528
1.59882,161.19515,151.19818,176.14729
1.60772,161.87859,151.69755,175.14669
1.61674,162.71773,152.65371,164.48532
1.62601,163.86603,154.02574,170.84151
1.63495,164.60537,154.49033,178.31484
1.64391,165.36593,155.27457,163.19587
1.65258,165.76487,155.43132,170.82414
1.66162,166.63188,156.63207,161.07783
1.67055,167.35321,157.26128,181.0426
1.67956,168.17987,158.17001,181.96706
1.68885,169.35046,159.58848,174.40399
1.69811,170.48809,160.7125,176.02857
1.70741,171.66556,161.92692,179.62954
1.71628,172.32104,162.22915,184.06936
1.72525,173.09212,163.0894,188.55311
1.73396,173.55128,163.34088,171.49646
1.74274,174.09285,163.9484,182.33713
1.75196,175.17296,165.41132,172.70213
1.76123,176.32256,166.6184,184.23212
1.76978,176.57306,166.25374,171.0528
1.77925,177.97137,168.45775,178.44194
1.78864,179.2575,169.67547,181.92179
1.79806,180.58743,171.04519,180.31233
1.80685,181.14511,171.07595,191.65735
1.81589,182.0035,172.15199,190.26984
1.82538,183.4127,173.95278,185.07779
1.83435,184.19832,174.31478,195.39883
1.84356,185.26063,175.57825,194.30025
1.85239,185.8625,175.86955,199.82424
1.86194,187.35608,177.99125,188.01082
1.87076,187.95358,177.97595,200.77074
1.87963,188.59626,178.65885,202.38297
1.88861,189.38271,179.55401,196.16706
1.8982,190.93074,181.63994,190.82681
1.907,191.48594,181.51521,201.13631
1.91569,191.92305,181.87909,199.24371
1.92507,193.20363,183.75417,192.7727
1.93387,193.77337,183.83959,205.53223
1.94269,194.35921,184.44543,204.1271
1.95153,194.96875,185.08025,207.4548
1.96089,196.22595,186.79609,196.81202
1.97021,197.43671,187.98396,200.68262
1.97907,198.07359,188.23159,213.61883
1.98793,198.71773,188.88963,212.77856
1.99713,199.77602,190.24442,212.88996
2.00588,200.27499,190.36413,209.7767
2.01475,200.93536,191.14533,216.02955
2.02419,202.28834,192.98823,214.85306
2.03309,202.97478,193.22119,214.68636
2.04235,204.10424,194.66723,219.39925
2.05143,205.0147,195.43484,223.1343
2.06066,206.1138,196.67404,220.11136
2.06979,207.08949,197.57324,217.34049
2.07896,208.10448,198.62468,221.17943
2.0882,209.208,199.79885,222.73163
2.0973,210.14354,200.62695,221.03778
2.10609,210.70371,200.93552,212.92192
2.11475,211.09125,201.21196,220.43537
2.12356,211.67721,201.94438,224.75219
2.13265,212.59784,203.10626,223.46329
2.14132,212.99908,203.15587,212.79612
2.14997,213.38663,203.54256,223.42752
2.15909,214.33928,204.89636,237.57722
2.16846,215.61431,206.40439,235.43149
2.17773,216.76039,207.47029,236.8364
2.18654,217.33896,207.66398,222.3888
2.19518,217.70433,207.89009,220.2969
2.20387,218.13414,208.3733,218.8352
2.21248,218.4722,208.65633,219.87858
2.2211,218.81026,209.003,220.46555
2.23009,219.6155,210.14131,238.56289
2.23903,220.35035,210.83628,238.19003
2.24799,221.11741,211.63464,248.5629
2.25709,222.04543,212.68342,245.48791
2.2659,222.62579,213.03141,220.32583
2.27494,223.48946,214.10065,220.21316
2.28375,224.06856,214.49116,238.78201
2.2925,224.57459,214.95525,230.65883
2.30119,225.00546,215.34267,228.91916
2.31013,225.73979,216.29646,242.92794
2.31908,226.48861,217.06428,250.53761
2.32801,227.21279,217.78029,252.93689
2.33674,227.69299,218.09997,227.62456
2.34599,228.81896,219.68316,238.97617
2.35488,229.49508,220.05611,253.88398
2.36373,230.12359,220.66045,253.0049
2.3731,231.38271,222.3664,244.11808
2.38259,232.79989,223.90271,253.9837
2.39193,234.03675,225.02382,240.18807
2.40084,234.73439,225.35631,264.05195
2.40981,235.51512,226.20365,263.07815
2.41899,236.54389,227.41367,247.44242
2.42824,237.66432,228.60694,257.16535
2.43744,238.72159,229.62959,258.15571
2.44673,239.89196,230.88771,259.64624
2.45584,240.84222,231.69438,240.48143
2.46534,242.26264,233.45047,252.88411
2.47432,243.05744,233.82025,274.56269
2.48357,244.17172,235.16541,252.2567
2.4925,244.90072,235.63605,242.74749
2.50147,245.68092,236.46074,244.39672
2.51079,246.87907,237.95815,280.07043
2.51997,247.92161,238.90192,267.54316
2.52884,248.57106,239.28755,276.26441
2.53783,249.36802,240.19583,284.59753
2.54669,250.00583,240.7321,269.20299
2.55567,250.79106,241.62858,286.34295
2.56491,251.90094,242.9729,285.16938
2.57381,252.58846,243.37633,279.59195
2.5827,253.26704,244.0576,248.9175
2.59195,254.3877,245.49419,258.17013
2.60093,255.18318,246.07306,285.82515
2.60981,255.8396,246.6419,285.17973
2.61848,256.2535,246.89622,249.87185
2.62738,256.9314,247.76617,284.95664
2.63625,257.59471,248.42822,289.71146
2.64474,257.76872,248.2713,251.35179
2.65368,258.51756,249.42783,290.31949
2.66249,259.08983,249.88643,278.74534
2.67191,260.42467,251.75969,266.41863
